0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:44 +0900] "GET /boardViewOk.bo?board_idx=65&board_state=1 HTTP/1.1" 200 19184
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:44 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:44 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:50 +0900] "POST /boardDeleteReCommentOk.bo HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:51 +0900] "GET /boardViewOk.bo?board_idx=65&board_state=1 HTTP/1.1" 200 17832
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:51 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:39:51 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:02 +0900] "POST /boardUpdateCommentOk.bo HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:03 +0900] "GET /boardViewOk.bo?board_idx=65&board_state=1 HTTP/1.1" 200 17824
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:03 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:23 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:29 +0900] "POST /boardCommentOk.bo?board_idx=65&board_state=1 HTTP/1.1" 200 19907
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:29 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:29 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:41 +0900] "GET /app/board/board_report.jsp?board_idx=65&member_uid=4&board_state=1 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:40:43 +0900] "POST /boardReportOk.bo HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:41:49 +0900] "GET /app/func/find_utils.jsp HTTP/1.1" 200 10381
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:41:49 +0900] "GET /resource/css/kakao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:41:49 +0900] "GET /resource/js/kakaomap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:43:44 +0900] "GET /Index.me HTTP/1.1" 200 29815
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:43:44 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:43:44 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:43:44 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:43:44 +0900] "GET /indexBoardListOk.bo HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [20/Nov/2020:09:43:44 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1574
